Diameter,Material,Sample,Pressure,Dt1,Dt2,Dt3,Full dt,Gyro speed,Amplitude,Omega,Zeta
20,82,1,0,0.01488,0.02381,0.01488,0.05357,2525,-0.593076842,56.90997919,0.145755985
20,82,1,0,0.01488,0.02381,0.01488,0.05357,1975,-0.661047561,55.09516719,0.15334945
20,82,1,0,0.01488,0.02383,0.01488,0.05359,1950,-0.605114948,54.98262761,0.146683017
20,82,1,50,0.0119,0.01486,0.0149,0.04166,1394,-0.70655108,63.74835461,0.120040816
20,82,1,50,0.0119,0.01788,0.0119,0.04168,1254,-0.694973511,64.99447022,0.117598725
20,82,1,50,0.01486,0.01489,0.01486,0.04461,2296,-0.571365448,68.01606148,0.096146706
20,82,1,75,0.0119,0.01483,0.0119,0.03863,1371,-0.567299308,71.71580889,0.080081616
20,82,1,75,0.0119,0.0149,0.0119,0.0387,1598,-0.641098016,68.61661708,0.094195459
20,82,1,75,0.0119,0.01191,0.0119,0.03571,980,-0.664829261,68.39997908,0.095105945
20,82,1,100,0.01184,0.01197,0.01184,0.03565,995,,38.34825958,0
20,82,1,100,0.00891,0.01489,0.01184,0.03564,894,-0.635582182,69.94448596,0.083947493
20,82,1,100,0.01184,0.01502,0.01184,0.0387,1814,-0.62749137,70.74880064,0.081729342
20,82,1,125,0.00891,0.01197,0.00891,0.02979,1019,-0.657504044,71.16038324,0.077354765
20,82,1,125,0.00891,0.01196,0.00892,0.02979,1180,-0.702493054,69.35339734,0.083910429
20,82,1,125,0.00891,0.01184,0.01196,0.03271,1421,-0.675667496,69.8456375,0.081109255
20,82,1,150,0.00891,0.01196,0.01184,0.03271,1314,-0.672151952,70.17238941,0.077593078
20,82,1,150,0.00891,0.00903,0.01184,0.02978,1261,-0.668415971,70.41411697,0.076129085
20,82,1,150,0.00891,0.01197,0.01184,0.03272,1328,-0.65937681,70.97834633,0.074994382
25,60,2,-50,0.02381,0.02679,0.02979,0.08039,2358,-1.09289029,16.76390677,0.072441477
25,60,2,-50,0.02088,0.0238,0.02673,0.07141,1398,-1.07768773,16.65177661,0.067524496
25,60,2,-50,0.0238,0.02381,0.02984,0.07745,1682,-1.006600622,16.83072851,0.064307879
25,60,2,0,0.0119,0.01496,0.01483,0.04169,1074,-0.995280278,35.98215544,0.110021188
25,60,2,0,0.01185,0.01489,0.01489,0.04163,835,-1.002631644,35.93726674,0.106237696
25,60,2,0,0.01184,0.01502,0.01489,0.04175,1595,-0.979826316,35.90612263,0.104825195
25,60,2,50,0.00586,0.01196,0.01184,0.02966,1541,-1.06712913,45.73665495,0.09991754
25,60,2,50,0.00903,0.01185,0.00903,0.02991,2124,-0.988229463,45.60359529,0.090658779
25,60,2,50,0.00904,0.01184,0.00891,0.02979,2250,-1.040505655,45.85122884,0.092211281
25,60,2,75,0.00903,0.00879,0.01196,0.02978,1366,-0.973055877,51.66522245,0.082363397
25,60,2,75,0.00879,0.00903,0.00892,0.02674,1502,-0.908366374,53.16015081,0.075892749
25,60,2,75,0.00903,0.00891,0.01184,0.02978,1712,-0.944593328,52.3551306,0.079125717
25,60,2,100,0.00891,0.00891,0.00904,0.02686,1588,-0.886328934,56.14033347,0.062816442
25,60,2,100,0.00879,0.00904,0.00891,0.02674,1186,-0.882642843,56.63823042,0.059849094
25,60,2,100,0.00904,0.00854,0.00903,0.02661,653,-0.880456762,56.63531802,0.059890542
25,60,2,125,0.00903,0.00879,0.00879,0.02661,1129,-0.869262159,55.84496036,0.056830317
25,60,2,125,0.00903,0.00879,0.00903,0.02685,933,-0.861078759,55.13531999,0.055232702
25,60,2,125,0.00891,0.00891,0.01184,0.02966,680,-0.773948728,60.79219956,0.067380725
25,70,2,-50,0.02082,0.02679,0.0268,0.07441,1361,-0.660887501,26.26661818,0.13562585
25,70,2,-50,0.01789,0.02679,0.0268,0.07148,2596,-0.769984088,23.93574563,0.142218393
25,70,2,-50,0.01782,0.02685,0.02674,0.07141,1470,-0.763552367,23.88582146,0.137199255
25,70,2,0,0.0119,0.01789,0.01782,0.04761,1830,-0.884361027,37.66283963,0.111564815
25,70,2,0,0.0149,0.01489,0.01782,0.04761,919,-0.947849775,37.06766028,0.114239474
25,70,2,0,0.01495,0.01782,0.01789,0.05066,1427,-0.896444598,37.04665493,0.111527791
25,70,2,50,0.00891,0.0119,0.01197,0.03278,923,-0.983850785,47.30959502,0.09410122
25,70,2,50,0.0119,0.0119,0.0119,0.0357,1452,-0.980495916,47.47856385,0.09259397
25,70,2,50,0.00891,0.01196,0.01184,0.03271,835,-0.999032646,47.29218825,0.093781095
25,70,2,75,0.00891,0.00904,0.01184,0.02979,1595,-0.962357116,52.48954044,0.087605983
25,70,2,75,0.00903,0.00891,0.01184,0.02978,964,-0.941962173,52.7534685,0.085627562
25,70,2,75,0.00891,0.01196,0.00879,0.02966,818,-0.932444653,53.6903029,0.084982771
25,70,2,100,0.00891,0.00904,0.00879,0.02674,1606,-0.885530546,57.96803002,0.079940581
25,70,2,100,0.00598,0.01196,0.00891,0.02685,1116,-0.894004273,58.42253271,0.080010213
25,70,2,100,0.00611,0.01184,0.00891,0.02686,1010,-0.925419397,57.71231201,0.082574139
25,70,2,125,0.00586,0.00903,0.00904,0.02393,1092,-0.79374496,64.9308403,0.065933194
25,70,2,125,0.00903,0.00879,0.00879,0.02661,1418,-0.799566119,64.35381285,0.066174712
25,70,2,125,0.00854,0.00903,0.00611,0.02368,1851,-0.794302689,64.14477841,0.065502324
25,70,2,150,0.00903,0.00903,0.00586,0.02392,1475,-0.791146069,65.64149802,0.061616441
25,70,2,150,0.00586,0.00903,0.00891,0.0238,725,-0.775826709,66.7878403,0.060543966
25,70,2,150,0.00586,0.00903,0.00879,0.02368,1858,-0.773242751,65.94796671,0.057999509
25,82,1,-50,0.0119,0.02081,0.02686,0.05957,1076,-0.808336352,26.68179198,0.11320727
25,82,1,-50,0.01489,0.02081,0.0268,0.0625,2000,-0.800948952,26.15308637,0.103379396
25,82,1,-50,0.0119,0.02088,0.02673,0.05951,1334,-0.811344727,25.96190772,0.097943231
25,82,1,0,0.00891,0.01789,0.01483,0.04163,3506,-0.868933474,43.97643106,0.119935826
25,82,1,0,0.01191,0.01489,0.01788,0.04468,1280,-0.818251726,44.28046014,0.116314732
